Customer_ID,AI_Repayment_Score,AI_Status_Prediction,AI_Expected_Days
CUST00388,2.0,Likely to Default,270
CUST00389,0.0,Likely to Default,265
CUST00390,2.0,Likely to Default,83
CUST00391,1.0,Likely to Default,168
CUST00392,99.0,Likely to Repay,275
CUST00393,99.0,Likely to Repay,270
CUST00394,99.0,Likely to Repay,93
CUST00395,3.0,Likely to Default,361
CUST00396,0.0,Likely to Default,269
CUST00397,1.0,Likely to Default,80
CUST00398,0.0,Likely to Default,272
CUST00399,99.0,Likely to Repay,262
CUST00400,100.0,Likely to Repay,89
CUST00401,1.0,Likely to Default,89
CUST00402,3.0,Likely to Default,167
CUST00403,0.0,Likely to Default,269
CUST00404,0.0,Likely to Default,358
CUST00405,0.0,Likely to Default,359
CUST00406,0.0,Likely to Default,183
CUST00407,0.0,Likely to Default,171
CUST00408,99.0,Likely to Repay,88
CUST00409,0.0,Likely to Default,359
CUST00410,98.0,Likely to Repay,272
CUST00411,0.0,Likely to Default,76
CUST00412,1.0,Likely to Default,267
CUST00413,2.0,Likely to Default,359
CUST00414,1.0,Likely to Default,85
CUST00415,100.0,Likely to Repay,267
CUST00416,0.0,Likely to Default,175
CUST00417,3.0,Likely to Default,264
CUST00418,99.0,Likely to Repay,269
CUST00419,0.0,Likely to Default,92
CUST00420,100.0,Likely to Repay,355
CUST00421,0.0,Likely to Default,268
CUST00422,100.0,Likely to Repay,270
CUST00423,99.0,Likely to Repay,277
CUST00424,0.0,Likely to Default,268
CUST00425,99.0,Likely to Repay,189
CUST00426,1.0,Likely to Default,364
CUST00427,0.0,Likely to Default,360
CUST00428,2.0,Likely to Default,87
CUST00429,0.0,Likely to Default,267
CUST00430,87.0,Likely to Repay,78
CUST00431,0.0,Likely to Default,179
CUST00432,1.0,Likely to Default,180
CUST00433,0.0,Likely to Default,271
CUST00434,100.0,Likely to Repay,93
CUST00435,99.0,Likely to Repay,95
CUST00436,100.0,Likely to Repay,350
CUST00437,99.0,Likely to Repay,92
CUST00438,99.0,Likely to Repay,187
CUST00439,100.0,Likely to Repay,181
CUST00440,3.0,Likely to Default,268
CUST00441,99.0,Likely to Repay,95
CUST00442,97.0,Likely to Repay,73
CUST00443,99.0,Likely to Repay,185
CUST00444,0.0,Likely to Default,273
CUST00445,0.0,Likely to Default,359
CUST00446,99.0,Likely to Repay,362
CUST00447,0.0,Likely to Default,271
CUST00448,100.0,Likely to Repay,265
CUST00449,97.0,Likely to Repay,353
CUST00450,93.0,Likely to Repay,168
CUST00451,100.0,Likely to Repay,87
CUST00452,1.0,Likely to Default,360
CUST00453,0.0,Likely to Default,267
CUST00454,1.0,Likely to Default,273
CUST00455,1.0,Likely to Default,75
CUST00456,100.0,Likely to Repay,265
CUST00457,0.0,Likely to Default,181
CUST00458,0.0,Likely to Default,268
CUST00459,98.0,Likely to Repay,89
CUST00460,1.0,Likely to Default,356
CUST00461,88.0,Likely to Repay,165
CUST00462,1.0,Likely to Default,270
CUST00463,0.0,Likely to Default,80
CUST00464,99.0,Likely to Repay,371
CUST00465,0.0,Likely to Default,362
CUST00466,1.0,Likely to Default,77
CUST00467,99.0,Likely to Repay,364
CUST00468,100.0,Likely to Repay,366
CUST00469,99.0,Likely to Repay,364
CUST00470,3.0,Likely to Default,359
CUST00471,1.0,Likely to Default,84
CUST00472,0.0,Likely to Default,79
CUST00473,0.0,Likely to Default,270
CUST00474,0.0,Likely to Default,265
CUST00475,1.0,Likely to Default,180
CUST00476,0.0,Likely to Default,356
CUST00477,0.0,Likely to Default,360
CUST00478,99.0,Likely to Repay,175
CUST00479,99.0,Likely to Repay,90
CUST00480,100.0,Likely to Repay,96
CUST00481,0.0,Likely to Default,177
CUST00482,0.0,Likely to Default,273
CUST00483,0.0,Likely to Default,270
CUST00484,2.0,Likely to Default,359
CUST00485,0.0,Likely to Default,268
CUST00486,95.0,Likely to Repay,85
CUST00487,0.0,Likely to Default,172
CUST00488,2.0,Likely to Default,161
CUST00489,0.0,Likely to Default,177
CUST00490,0.0,Likely to Default,266
CUST00491,0.0,Likely to Default,182
CUST00492,97.0,Likely to Repay,180
CUST00493,98.0,Likely to Repay,278
CUST00494,100.0,Likely to Repay,84
CUST00495,1.0,Likely to Default,362
CUST00496,1.0,Likely to Default,79
CUST00497,0.0,Likely to Default,268
CUST00498,0.0,Likely to Default,181
CUST00499,3.0,Likely to Default,360
CUST00500,0.0,Likely to Default,84
CUST00501,99.0,Likely to Repay,367
CUST00502,98.0,Likely to Repay,91
CUST00503,100.0,Likely to Repay,86
CUST00504,0.0,Likely to Default,273
CUST00505,100.0,Likely to Repay,97
CUST00506,0.0,Likely to Default,181
CUST00507,0.0,Likely to Default,265
CUST00508,3.0,Likely to Default,360
CUST00509,1.0,Likely to Default,268
CUST00510,5.0,Likely to Default,77
CUST00511,2.0,Likely to Default,358
CUST00512,0.0,Likely to Default,182
CUST00513,2.0,Likely to Default,271
CUST00514,8.0,Likely to Default,82
CUST00515,100.0,Likely to Repay,362
CUST00516,0.0,Likely to Default,174
CUST00517,99.0,Likely to Repay,180
CUST00518,0.0,Likely to Default,268
CUST00519,97.0,Likely to Repay,362
CUST00520,99.0,Likely to Repay,85
CUST00521,96.0,Likely to Repay,350
CUST00522,0.0,Likely to Default,171
CUST00523,0.0,Likely to Default,359
CUST00524,0.0,Likely to Default,268
CUST00525,0.0,Likely to Default,359
CUST00526,0.0,Likely to Default,361
CUST00527,96.0,Likely to Repay,268
CUST00528,99.0,Likely to Repay,367
CUST00529,100.0,Likely to Repay,264
CUST00530,1.0,Likely to Default,267
CUST00531,1.0,Likely to Default,271
CUST00532,98.0,Likely to Repay,179
CUST00533,0.0,Likely to Default,360
CUST00534,0.0,Likely to Default,272
CUST00535,0.0,Likely to Default,86
CUST00536,1.0,Likely to Default,81
CUST00537,0.0,Likely to Default,183
CUST00538,0.0,Likely to Default,268
CUST00539,1.0,Likely to Default,268
CUST00540,1.0,Likely to Default,179
CUST00541,100.0,Likely to Repay,369
CUST00542,0.0,Likely to Default,266
CUST00543,97.0,Likely to Repay,277
CUST00544,3.0,Likely to Default,81
CUST00545,2.0,Likely to Default,271
CUST00546,0.0,Likely to Default,180
CUST00547,97.0,Likely to Repay,97
CUST00548,3.0,Likely to Default,180
CUST00549,100.0,Likely to Repay,180
CUST00550,0.0,Likely to Default,264
CUST00551,0.0,Likely to Default,361
CUST00552,0.0,Likely to Default,273
CUST00553,100.0,Likely to Repay,368
CUST00554,0.0,Likely to Default,93
CUST00555,99.0,Likely to Repay,172
CUST00556,4.0,Likely to Default,181
CUST00557,0.0,Likely to Default,266
CUST00558,0.0,Likely to Default,359
CUST00559,99.0,Likely to Repay,182
CUST00560,0.0,Likely to Default,170
CUST00561,98.0,Likely to Repay,356
CUST00562,2.0,Likely to Default,173
CUST00563,0.0,Likely to Default,180
CUST00564,0.0,Likely to Default,163
CUST00565,0.0,Likely to Default,359
CUST00566,100.0,Likely to Repay,361
CUST00567,1.0,Likely to Default,86
CUST00568,0.0,Likely to Default,171
CUST00569,1.0,Likely to Default,182
CUST00570,0.0,Likely to Default,86
CUST00571,0.0,Likely to Default,359
CUST00572,0.0,Likely to Default,358
CUST00573,0.0,Likely to Default,268
CUST00574,100.0,Likely to Repay,349
CUST00575,95.0,Likely to Repay,265
CUST00576,0.0,Likely to Default,84
CUST00577,99.0,Likely to Repay,370
CUST00578,0.0,Likely to Default,74
CUST00579,0.0,Likely to Default,272
CUST00580,0.0,Likely to Default,172
CUST00581,98.0,Likely to Repay,177
CUST00582,100.0,Likely to Repay,98
CUST00583,100.0,Likely to Repay,186
CUST00584,100.0,Likely to Repay,96
CUST00585,0.0,Likely to Default,266
CUST00586,96.0,Likely to Repay,168
CUST00587,99.0,Likely to Repay,264
CUST00588,98.0,Likely to Repay,350
CUST00589,97.0,Likely to Repay,176
CUST00590,0.0,Likely to Default,182
CUST00591,0.0,Likely to Default,175
CUST00592,0.0,Likely to Default,94
CUST00593,1.0,Likely to Default,365
CUST00594,0.0,Likely to Default,360
CUST00595,0.0,Likely to Default,358
CUST00596,100.0,Likely to Repay,278
CUST00597,1.0,Likely to Default,360
CUST00598,0.0,Likely to Default,84
CUST00599,2.0,Likely to Default,90
CUST00600,100.0,Likely to Repay,273
CUST00601,0.0,Likely to Default,269
CUST00602,98.0,Likely to Repay,370
CUST00603,98.0,Likely to Repay,352
CUST00604,0.0,Likely to Default,95
CUST00605,0.0,Likely to Default,90
CUST00606,99.0,Likely to Repay,350
CUST00607,1.0,Likely to Default,77
CUST00608,1.0,Likely to Default,274
CUST00609,1.0,Likely to Default,81
CUST00610,96.0,Likely to Repay,366
CUST00611,100.0,Likely to Repay,268
CUST00612,100.0,Likely to Repay,99
CUST00613,0.0,Likely to Default,268
CUST00614,99.0,Likely to Repay,352
CUST00615,95.0,Likely to Repay,93
CUST00616,2.0,Likely to Default,360
CUST00617,0.0,Likely to Default,176
CUST00618,1.0,Likely to Default,361
CUST00619,3.0,Likely to Default,181
CUST00620,0.0,Likely to Default,268
CUST00621,1.0,Likely to Default,268
CUST00622,0.0,Likely to Default,175
CUST00623,1.0,Likely to Default,269
CUST00624,95.0,Likely to Repay,271
CUST00625,0.0,Likely to Default,359
CUST00626,99.0,Likely to Repay,185
CUST00627,100.0,Likely to Repay,82
CUST00628,100.0,Likely to Repay,264
CUST00629,98.0,Likely to Repay,274
CUST00630,100.0,Likely to Repay,91
CUST00631,1.0,Likely to Default,358
CUST00632,1.0,Likely to Default,360
CUST00633,1.0,Likely to Default,360
CUST00634,97.0,Likely to Repay,94
CUST00635,0.0,Likely to Default,357
CUST00636,97.0,Likely to Repay,271
CUST00637,0.0,Likely to Default,361
CUST00638,0.0,Likely to Default,271
CUST00639,100.0,Likely to Repay,82
CUST00640,0.0,Likely to Default,356
CUST00641,100.0,Likely to Repay,356
CUST00642,100.0,Likely to Repay,269
CUST00643,0.0,Likely to Default,80
CUST00644,0.0,Likely to Default,356
CUST00645,1.0,Likely to Default,93
CUST00646,0.0,Likely to Default,267
CUST00647,1.0,Likely to Default,273
CUST00648,3.0,Likely to Default,361
CUST00649,0.0,Likely to Default,95
CUST00650,100.0,Likely to Repay,276
CUST00651,100.0,Likely to Repay,93
CUST00652,0.0,Likely to Default,177
CUST00653,1.0,Likely to Default,180
CUST00654,0.0,Likely to Default,358
CUST00655,99.0,Likely to Repay,88
CUST00656,100.0,Likely to Repay,102
CUST00657,0.0,Likely to Default,271
CUST00658,100.0,Likely to Repay,84
CUST00659,98.0,Likely to Repay,97
CUST00660,0.0,Likely to Default,272
CUST00661,100.0,Likely to Repay,359
CUST00662,99.0,Likely to Repay,276
CUST00663,99.0,Likely to Repay,185
CUST00664,0.0,Likely to Default,88
CUST00665,0.0,Likely to Default,92
CUST00666,1.0,Likely to Default,358
CUST00667,99.0,Likely to Repay,185
CUST00668,100.0,Likely to Repay,84
CUST00669,97.0,Likely to Repay,273
CUST00670,98.0,Likely to Repay,87
CUST00671,99.0,Likely to Repay,357
CUST00672,0.0,Likely to Default,267
CUST00673,98.0,Likely to Repay,95
CUST00674,99.0,Likely to Repay,362
CUST00675,1.0,Likely to Default,170
CUST00676,99.0,Likely to Repay,266
CUST00677,100.0,Likely to Repay,268
CUST00678,100.0,Likely to Repay,187
CUST00679,95.0,Likely to Repay,272
CUST00680,99.0,Likely to Repay,360
CUST00681,100.0,Likely to Repay,173
CUST00682,94.0,Likely to Repay,84
CUST00683,100.0,Likely to Repay,355
CUST00684,100.0,Likely to Repay,171
CUST00685,0.0,Likely to Default,85
CUST00686,0.0,Likely to Default,360
CUST00687,0.0,Likely to Default,362
CUST00688,100.0,Likely to Repay,267
CUST00689,100.0,Likely to Repay,259
CUST00690,0.0,Likely to Default,173
CUST00691,1.0,Likely to Default,85
CUST00692,0.0,Likely to Default,357
CUST00693,0.0,Likely to Default,360
CUST00694,100.0,Likely to Repay,180
CUST00695,0.0,Likely to Default,270
CUST00696,0.0,Likely to Default,356
CUST00697,99.0,Likely to Repay,361
CUST00698,1.0,Likely to Default,276
CUST00699,100.0,Likely to Repay,87
CUST00700,0.0,Likely to Default,81
CUST00701,100.0,Likely to Repay,273
CUST00702,2.0,Likely to Default,353
CUST00703,0.0,Likely to Default,266
CUST00704,2.0,Likely to Default,92
CUST00705,95.0,Likely to Repay,175
CUST00706,100.0,Likely to Repay,168
CUST00707,100.0,Likely to Repay,82
CUST00708,1.0,Likely to Default,80
CUST00709,100.0,Likely to Repay,93
CUST00710,98.0,Likely to Repay,272
CUST00711,98.0,Likely to Repay,167
CUST00712,100.0,Likely to Repay,84
CUST00713,100.0,Likely to Repay,351
CUST00714,1.0,Likely to Default,178
CUST00715,0.0,Likely to Default,265
CUST00716,2.0,Likely to Default,361
CUST00717,0.0,Likely to Default,271
CUST00718,1.0,Likely to Default,82
